campaign_id,sku_id,weight
CAMP0000,SKU00422,0.03546720237981449
CAMP0000,SKU02232,0.007495963612481837
CAMP0000,SKU02814,0.33918537432385587
CAMP0000,SKU00883,0.8306492376707425
CAMP0000,SKU00001,0.5026411158276739
CAMP0000,SKU02849,0.6853426324189837
CAMP0000,SKU02905,0.3097947875533892
CAMP0000,SKU03022,0.5746056323424764
CAMP0000,SKU00851,0.42071153791665616
CAMP0000,SKU03006,0.18589811861280736
CAMP0000,SKU00784,0.8905700902157146
CAMP0000,SKU02747,0.8156610429597148
CAMP0000,SKU02504,0.7517149870727617
CAMP0000,SKU02832,0.39312164510982306
CAMP0000,SKU00217,0.8912262062471777
CAMP0000,SKU00257,0.922139901244774
CAMP0000,SKU01719,0.619254065626283
CAMP0000,SKU01139,0.6260511323930144
CAMP0000,SKU00075,0.5801721887310396
CAMP0001,SKU00252,0.11153117672978574
CAMP0001,SKU02484,0.7240920762282893
CAMP0001,SKU00142,0.2852265711848845
CAMP0001,SKU00363,0.4195068083475816
CAMP0001,SKU01908,0.03584207297566999
CAMP0001,SKU01194,0.004618608085427023
CAMP0001,SKU03072,0.11444416987040773
CAMP0001,SKU01676,0.5711551240761398
CAMP0001,SKU00937,0.4927650885518411
CAMP0001,SKU01792,0.5361227703164935
CAMP0001,SKU01752,0.9758181378196547
CAMP0001,SKU02675,0.2976649144738025
CAMP0001,SKU02140,0.248367807789301
CAMP0001,SKU02401,0.3541864343897936
CAMP0001,SKU02346,0.657339523927597
CAMP0001,SKU00960,0.5335628204869808
CAMP0001,SKU02461,0.9818188301634673
CAMP0001,SKU01429,0.4769323919993257
CAMP0001,SKU00627,0.4203953796983385
CAMP0001,SKU01976,0.8661351070247928
CAMP0001,SKU00672,0.8725965726387568
CAMP0002,SKU01054,0.8803440846790128
CAMP0002,SKU00581,0.9862911276401177
CAMP0002,SKU02077,0.5432002077529385
CAMP0002,SKU02554,0.08064372692227517
CAMP0002,SKU01453,0.27215018580627715
CAMP0002,SKU00749,0.6719095582992454
CAMP0002,SKU01651,0.24393205764373438
CAMP0002,SKU00047,0.2647554582772207
CAMP0002,SKU01487,0.8068398757227984
CAMP0002,SKU01204,0.6550775972249809
CAMP0002,SKU01859,0.8158283390780541
CAMP0002,SKU00473,0.6548736794699197
CAMP0002,SKU00452,0.29158345601188895
CAMP0002,SKU02884,0.6471301266453755
CAMP0002,SKU01903,0.154860238081023
CAMP0002,SKU00600,0.1887185518613831
CAMP0002,SKU02278,0.3220165210597381
CAMP0002,SKU00952,0.20326913260282198
CAMP0002,SKU02290,0.18566026724288476
CAMP0002,SKU02323,0.4939229074028836
CAMP0002,SKU00264,0.17001283774154474
CAMP0002,SKU00550,0.3786560918066808
CAMP0002,SKU00189,0.7738545736789807
CAMP0002,SKU03038,0.15004569474223073
CAMP0002,SKU00258,0.4802379674794792
CAMP0002,SKU02250,0.9207062814479847
