spend_id,date,campaign_id,brand,category,channel,sku_id,impressions,clicks,conversions,spend_value,intent_level
6559c2b8-3159-4d61-bd85-0d3ca949341f,2025-05-04,CAMP0000,Himalaya,Pet,YouTube,SKU00422,108016,1681,242,27367.970570938,Medium
e3b25d56-bac4-4769-90cd-d317f4274bdf,2025-05-05,CAMP0000,Himalaya,Pet,YouTube,SKU02232,399339,15833,806,27367.970570938,Medium
3339a785-fbdd-411e-b526-6bafdf5681e5,2025-05-06,CAMP0000,Himalaya,Pet,YouTube,SKU02814,183406,4109,239,27367.970570938,Medium
32d140c6-1b7a-47f5-9cc2-3df687b4d987,2025-05-07,CAMP0000,Himalaya,Pet,YouTube,SKU00883,385691,7918,541,27367.970570938,Medium
60e3c5e0-08b5-4b50-a89a-9ce7ac0a7790,2025-05-08,CAMP0000,Himalaya,Pet,YouTube,SKU00001,464885,13477,1071,27367.970570938,Medium
b74d4461-3f6f-44da-ac6b-a429f83e9e9b,2025-05-09,CAMP0000,Himalaya,Pet,YouTube,SKU02849,244205,3459,205,27367.970570938,Medium
439232cc-8e3b-4fc9-b450-a00927624e78,2025-05-10,CAMP0000,Himalaya,Pet,YouTube,SKU02905,447870,10155,1003,27367.970570938,Medium
9c0efde6-6678-4d92-8d90-30aa2b9f713b,2025-05-11,CAMP0000,Himalaya,Pet,YouTube,SKU03022,46198,517,40,27367.970570938,Medium
09fe50d9-ec14-4ffb-928b-cb69bdc82edf,2025-05-12,CAMP0000,Himalaya,Pet,YouTube,SKU00851,59653,830,97,27367.970570938,Medium
8d9ffcf3-b7a8-4513-8415-4d23235ef1f1,2025-05-13,CAMP0000,Himalaya,Pet,YouTube,SKU03006,109996,4533,565,27367.970570938,Medium
d6e7d8e7-d350-490d-93e5-accb0d31cc40,2025-05-14,CAMP0000,Himalaya,Pet,YouTube,SKU00784,356212,4610,638,27367.970570938,Medium
a672ccc4-cb4f-4108-b770-9f80ffc1bb1d,2025-05-15,CAMP0000,Himalaya,Pet,YouTube,SKU02747,245989,3793,264,27367.970570938,Medium
31c88bc4-d641-49d7-b411-43f463366e78,2025-05-16,CAMP0000,Himalaya,Pet,YouTube,SKU02504,419323,12855,777,27367.970570938,Medium
d4dd47fc-e1fd-40a6-b5f7-68c18fec836b,2025-05-17,CAMP0000,Himalaya,Pet,YouTube,SKU02832,366144,17567,2052,27367.970570938,Medium
b68a28b3-1636-433b-90d3-54956406d296,2025-05-18,CAMP0000,Himalaya,Pet,YouTube,SKU00217,86927,3899,426,27367.970570938,Medium
61ea5145-fde4-428e-862b-17718f74a482,2025-05-19,CAMP0000,Himalaya,Pet,YouTube,SKU00257,275875,9782,690,27367.970570938,Medium
507dd7d4-6882-44f6-b8e0-9fa5f7a3cfe8,2025-05-20,CAMP0000,Himalaya,Pet,YouTube,SKU01719,279907,7634,921,27367.970570938,Medium
bde68504-df56-4a07-b823-4f6db215a751,2025-05-21,CAMP0000,Himalaya,Pet,YouTube,SKU01139,158557,2174,276,27367.970570938,Medium
232fab29-556a-46ea-a443-1026e6f91745,2025-05-22,CAMP0000,Himalaya,Pet,YouTube,SKU00075,474533,18412,2458,27367.970570938,Medium
be9ed9b1-9520-47e4-b223-18c8cc802a34,2025-05-04,CAMP0001,Whiskas,Grocery,OTT,SKU00252,247730,7502,826,41153.13140548152,Medium
c1466ce6-3b6b-412f-a9ae-0bbd37142010,2025-05-05,CAMP0001,Whiskas,Grocery,OTT,SKU02484,364986,13489,1145,41153.13140548152,Medium
e2863f23-3d3b-4ce5-bebf-4834c5d73a05,2025-05-06,CAMP0001,Whiskas,Grocery,OTT,SKU00142,412233,10657,1415,41153.13140548152,Medium
784c5813-4abb-4f1d-acb5-034fb1f3ae93,2025-05-07,CAMP0001,Whiskas,Grocery,OTT,SKU00363,385260,16481,2211,41153.13140548152,Medium
f9bf20a9-6cfa-4eb8-b216-dc43edf95c28,2025-05-08,CAMP0001,Whiskas,Grocery,OTT,SKU01908,147494,5197,568,41153.13140548152,Medium
5a60f3d9-698d-4a54-bd3c-27dfed44690a,2025-05-09,CAMP0001,Whiskas,Grocery,OTT,SKU01194,133003,5287,678,41153.13140548152,Medium
75d9a42a-68da-450a-9e85-e572a0acc27f,2025-05-10,CAMP0001,Whiskas,Grocery,OTT,SKU03072,363615,6976,999,41153.13140548152,Medium
bc5e260b-621b-49b5-8048-3e0904ae4063,2025-05-11,CAMP0001,Whiskas,Grocery,OTT,SKU01676,394667,14232,1637,41153.13140548152,Medium
0ae168ff-ac6a-4fc8-b2ca-c0e3e47ded8d,2025-05-12,CAMP0001,Whiskas,Grocery,OTT,SKU00937,297643,5883,426,41153.13140548152,Medium
9a6bb9b4-ccca-4397-902a-924fe5a7f0db,2025-05-13,CAMP0001,Whiskas,Grocery,OTT,SKU01792,60427,2054,230,41153.13140548152,Medium
50989805-76e9-4d08-b5ab-885014daae39,2025-05-14,CAMP0001,Whiskas,Grocery,OTT,SKU01752,30682,440,63,41153.13140548152,Medium
77895d02-5d44-4121-ab1b-29e1a0ffbdc9,2025-05-15,CAMP0001,Whiskas,Grocery,OTT,SKU02675,51119,2538,266,41153.13140548152,Medium
0ab2a024-f1f0-4077-9b98-a0ac0688a548,2025-05-16,CAMP0001,Whiskas,Grocery,OTT,SKU02140,23146,721,52,41153.13140548152,Medium
367b6de2-319e-4067-9207-770ccdcff81c,2025-05-17,CAMP0001,Whiskas,Grocery,OTT,SKU02401,254272,10600,808,41153.13140548152,Medium
0fdf09cc-7e0e-40a8-9f1e-64f7c2dd75a1,2025-05-18,CAMP0001,Whiskas,Grocery,OTT,SKU02346,178777,8842,566,41153.13140548152,Medium
ff90af74-7f9f-4d5a-b071-b9ea9ef0885c,2025-05-19,CAMP0001,Whiskas,Grocery,OTT,SKU00960,168121,7148,884,41153.13140548152,Medium
8875a780-cc56-4c71-8346-266f8d6db4ea,2025-05-20,CAMP0001,Whiskas,Grocery,OTT,SKU02461,35162,1168,86,41153.13140548152,Medium
056223c7-1871-4712-ba59-e85e7aecd27a,2025-05-21,CAMP0001,Whiskas,Grocery,OTT,SKU01429,156144,4467,429,41153.13140548152,Medium
c6a6d73d-eea6-48ff-b6a3-560cd274eccb,2025-05-22,CAMP0001,Whiskas,Grocery,OTT,SKU00627,128643,4135,539,41153.13140548152,Medium
f3c33a4c-7cc8-4af8-b337-b7b66935ba67,2025-05-23,CAMP0001,Whiskas,Grocery,OTT,SKU01976,145450,6231,331,41153.13140548152,Medium
4b2cc60b-58d9-4ce7-905f-62e449dbb607,2025-05-24,CAMP0001,Whiskas,Grocery,OTT,SKU00672,376589,15712,1314,41153.13140548152,Medium
728aeeed-65e3-4aa5-a877-48222eb54910,2025-07-10,CAMP0002,Dove,Home,Google,SKU01054,222232,8819,570,75433.49707803833,Medium
9045d6fa-df8d-4557-bd60-37fc33a9a317,2025-07-11,CAMP0002,Dove,Home,Google,SKU00581,99325,1048,95,75433.49707803833,Medium
b5fba380-cbb2-4d87-ab95-444d1eae7c7c,2025-07-12,CAMP0002,Dove,Home,Google,SKU02077,284962,7833,807,75433.49707803833,Medium
7b135c5d-3483-4a1a-bbd1-c27f23d4fe9a,2025-07-13,CAMP0002,Dove,Home,Google,SKU02554,298908,3385,431,75433.49707803833,Medium
e933d8e6-803d-4bfe-9acb-89db965b9f7c,2025-07-14,CAMP0002,Dove,Home,Google,SKU01453,341214,9349,1163,75433.49707803833,Medium
3dc2d5a8-c910-4e4b-a09e-fccdb085b9cc,2025-07-15,CAMP0002,Dove,Home,Google,SKU00749,482910,9385,505,75433.49707803833,Medium
60067d29-b018-48d8-8cd7-678bddaa4763,2025-07-16,CAMP0002,Dove,Home,Google,SKU01651,273670,4254,418,75433.49707803833,Medium
ef9e0a39-bc0e-4c6a-9b55-d4375261f091,2025-07-17,CAMP0002,Dove,Home,Google,SKU00047,344558,7879,757,75433.49707803833,Medium
50ec346d-69ae-4331-9f00-fcbe8e9d7fba,2025-07-18,CAMP0002,Dove,Home,Google,SKU01487,431654,11730,1605,75433.49707803833,Medium
64acda08-3749-456b-92ce-22e0ec1d8bd6,2025-07-19,CAMP0002,Dove,Home,Google,SKU01204,153755,7675,709,75433.49707803833,Medium
3c4e6743-1a92-4699-b634-c008ac0ab884,2025-07-20,CAMP0002,Dove,Home,Google,SKU01859,182806,7408,497,75433.49707803833,Medium
a5b95ffd-3f9f-470b-8f16-65088bf818bd,2025-07-21,CAMP0002,Dove,Home,Google,SKU00473,133064,3181,248,75433.49707803833,Medium
3f6f3b01-5175-476e-883e-0b98fc501357,2025-07-22,CAMP0002,Dove,Home,Google,SKU00452,273213,12981,1079,75433.49707803833,Medium
967d7b40-b0cc-4d67-9019-d61f8e434355,2025-07-23,CAMP0002,Dove,Home,Google,SKU02884,195827,4955,615,75433.49707803833,Medium
dc97fd94-9492-4ec5-9b47-0b7817ad22c2,2025-07-24,CAMP0002,Dove,Home,Google,SKU01903,114522,4539,237,75433.49707803833,Medium
95881a58-9f5d-4f26-800f-6bb302af2ffa,2025-07-25,CAMP0002,Dove,Home,Google,SKU00600,242045,10512,1128,75433.49707803833,Medium
d9f70567-6f64-48a2-b9f1-8d0428b282b5,2025-07-26,CAMP0002,Dove,Home,Google,SKU02278,209324,9497,715,75433.49707803833,Medium
b1ad652e-0dd1-46af-8a92-17dcca6bdbf7,2025-07-27,CAMP0002,Dove,Home,Google,SKU00952,157136,7027,969,75433.49707803833,Medium
ab1709ea-165e-4553-b166-7de98b9d8358,2025-07-28,CAMP0002,Dove,Home,Google,SKU02290,151104,3726,549,75433.49707803833,Medium
e3ebd01c-1821-4e46-8fff-2b42dd0b818d,2025-07-29,CAMP0002,Dove,Home,Google,SKU02323,243447,3376,411,75433.49707803833,Medium
c8b771de-36bd-4593-b3f1-441726a1e328,2025-07-30,CAMP0002,Dove,Home,Google,SKU00264,86498,3249,178,75433.49707803833,Medium
a091aedc-7298-4302-a3b6-3ed6b4b185ba,2025-07-31,CAMP0002,Dove,Home,Google,SKU00550,489817,16676,2416,75433.49707803833,Medium
b350c5c6-8543-4d90-89e7-d9ea764c27d5,2025-08-01,CAMP0002,Dove,Home,Google,SKU00189,266954,3026,201,75433.49707803833,Medium
52d5fc7d-2335-4b9c-93f9-77294de14ee7,2025-08-02,CAMP0002,Dove,Home,Google,SKU03038,479828,17909,1824,75433.49707803833,Medium
764cf478-788f-4e17-bed4-06368a3c6167,2025-08-03,CAMP0002,Dove,Home,Google,SKU00258,498610,17662,2079,75433.49707803833,Medium
3cb12f55-7bb8-4942-aa1f-edccaec1c40d,2025-08-04,CAMP0002,Dove,Home,Google,SKU02250,240301,5701,808,75433.49707803833,Medium
fc797fad-c673-4cde-b95f-b20ef705d2f5,2025-08-05,CAMP0002,Dove,Home,Google,SKU01371,189853,2929,255,75433.49707803833,Medium
e2da4239-404a-4489-9b51-d0331b27123d,2025-08-06,CAMP0002,Dove,Home,Google,SKU02913,79511,1898,175,75433.49707803833,Medium
31b96979-32b9-495d-b20f-30af2208e40a,2025-08-07,CAMP0002,Dove,Home,Google,SKU01285,282757,11816,1428,75433.49707803833,Medium
46444143-3e06-4dba-8d03-51f9cd8b1d16,2025-06-12,CAMP0003,Whiskas,Fashion,Zepto_App,SKU02724,207767,10171,998,60416.90674354172,Low
dc77b432-88c2-4a51-a2b2-a6cb922acdf2,2025-06-13,CAMP0003,Whiskas,Fashion,Zepto_App,SKU02993,43421,1113,119,60416.90674354172,Low
da66ffa6-16a0-49ed-91da-23921a0f040c,2025-06-14,CAMP0003,Whiskas,Fashion,Zepto_App,SKU00315,140552,2610,147,60416.90674354172,Low
5e73bf8e-e97f-4bd9-823c-8c06e46a218f,2025-06-15,CAMP0003,Whiskas,Fashion,Zepto_App,SKU01115,214068,10195,856,60416.90674354172,Low
6e0273de-1ec9-4fe0-8125-702fa9396d7c,2025-06-16,CAMP0003,Whiskas,Fashion,Zepto_App,SKU01868,80986,3084,233,60416.90674354172,Low
f99cb97d-5883-45c7-bbd6-272191c74542,2025-06-17,CAMP0003,Whiskas,Fashion,Zepto_App,SKU00934,332293,9835,967,60416.90674354172,Low
67846af4-7883-4f60-9719-d960578c0c51,2025-06-18,CAMP0003,Whiskas,Fashion,Zepto_App,SKU01672,302571,9434,1038,60416.90674354172,Low
8e875c67-f0be-46e4-a5cf-8ec7faecbfe4,2025-06-19,CAMP0003,Whiskas,Fashion,Zepto_App,SKU00144,430655,14713,1803,60416.90674354172,Low
f66c1ad3-0f20-4857-bb43-0a96037dc7bf,2025-06-20,CAMP0003,Whiskas,Fashion,Zepto_App,SKU02567,320456,9040,1151,60416.90674354172,Low
f01a65dd-7253-4bb8-9812-5a406781fea4,2025-06-21,CAMP0003,Whiskas,Fashion,Zepto_App,SKU02342,438517,5855,336,60416.90674354172,Low
cdfbbade-c707-48b0-8c45-47e3b28a62a3,2025-06-22,CAMP0003,Whiskas,Fashion,Zepto_App,SKU02553,251217,9436,641,60416.90674354172,Low
92d88964-9ccd-482a-9c61-7febbb3a9793,2025-06-23,CAMP0003,Whiskas,Fashion,Zepto_App,SKU00663,351014,15811,1104,60416.90674354172,Low
581cab3d-bf29-42e6-b2ab-ea5af6076393,2025-06-24,CAMP0003,Whiskas,Fashion,Zepto_App,SKU02069,396906,11224,1082,60416.90674354172,Low
105ac250-401e-42f9-bf8b-672def31310a,2025-06-25,CAMP0003,Whiskas,Fashion,Zepto_App,SKU00018,89427,2408,335,60416.90674354172,Low
6779d925-add6-46c3-82c6-0b2f572b3fb8,2025-06-26,CAMP0003,Whiskas,Fashion,Zepto_App,SKU03065,167888,3030,328,60416.90674354172,Low
fa9d33c1-f08b-472d-b66d-0065cb3fb2db,2025-06-27,CAMP0003,Whiskas,Fashion,Zepto_App,SKU01165,44387,713,54,60416.90674354172,Low
27700ab0-22fa-498c-9325-64685f85f943,2025-06-28,CAMP0003,Whiskas,Fashion,Zepto_App,SKU00906,21072,279,17,60416.90674354172,Low
4f657a22-6ad1-43ab-8709-2aec05a9678b,2025-06-29,CAMP0003,Whiskas,Fashion,Zepto_App,SKU01797,267091,4131,534,60416.90674354172,Low
d5e8db07-3e03-48ff-9960-045aa702eb0b,2025-06-30,CAMP0003,Whiskas,Fashion,Zepto_App,SKU00594,17675,334,49,60416.90674354172,Low
b87e5300-f859-44e3-b691-70c988a6f5d2,2025-07-01,CAMP0003,Whiskas,Fashion,Zepto_App,SKU01704,486156,7082,1058,60416.90674354172,Low
6cf95c05-efae-4318-95cf-a6a44691a694,2025-07-02,CAMP0003,Whiskas,Fashion,Zepto_App,SKU01621,294458,10409,806,60416.90674354172,Low
502777b2-7ab2-41f8-9dd5-6b90745002d9,2025-07-03,CAMP0003,Whiskas,Fashion,Zepto_App,SKU01783,38120,1728,237,60416.90674354172,Low
33fbf6f9-2f07-467e-91d2-3d2725ea1b0b,2025-07-04,CAMP0003,Whiskas,Fashion,Zepto_App,SKU01600,93839,1107,128,60416.90674354172,Low
9072cb10-740c-4515-972a-641ed0d46fcf,2025-07-05,CAMP0003,Whiskas,Fashion,Zepto_App,SKU01738,298815,13620,1041,60416.90674354172,Low
4f71b22d-053c-4579-8236-c9c5964fd790,2025-07-06,CAMP0003,Whiskas,Fashion,Zepto_App,SKU01262,363260,13590,1190,60416.90674354172,Low
2826899f-0a47-4f97-b14a-31f8c6a1064c,2025-07-15,CAMP0004,Nestle,Baby,Google,SKU02748,264395,13177,850,280006.991780936,Medium
c609c9a4-542e-4d7b-9653-ec60bd58f1e3,2025-07-16,CAMP0004,Nestle,Baby,Google,SKU02761,164317,6650,840,280006.991780936,Medium
218205a5-2123-46c3-b37b-67368e00a80c,2025-07-17,CAMP0004,Nestle,Baby,Google,SKU02336,347139,7101,791,280006.991780936,Medium
6c3c8eb1-e6a6-4389-bead-6e340ed27207,2025-07-18,CAMP0004,Nestle,Baby,Google,SKU01542,10050,171,22,280006.991780936,Medium
1ebc74a4-7feb-466d-af5d-6f7659f563a1,2025-07-19,CAMP0004,Nestle,Baby,Google,SKU02920,197134,6484,832,280006.991780936,Medium
264a83ed-654b-4bc1-b9d4-afb6044ec975,2025-07-20,CAMP0004,Nestle,Baby,Google,SKU01874,315819,9884,1402,280006.991780936,Medium
6688568a-0e25-4c26-a85b-936f37e1f3cb,2025-07-21,CAMP0004,Nestle,Baby,Google,SKU00627,462319,20633,2726,280006.991780936,Medium
f3489de4-295e-4573-84d7-06d4b80ae02f,2025-07-22,CAMP0004,Nestle,Baby,Google,SKU03006,189221,6348,804,280006.991780936,Medium
6e63c0cd-2c55-43e2-92e3-5e4a073dce9d,2025-05-02,CAMP0005,Aashirvaad,Beauty,Google,SKU01357,214620,4692,644,36942.355337607136,Low
7de7c215-7c18-42ad-ab10-1a78cab586e1,2025-05-03,CAMP0005,Aashirvaad,Beauty,Google,SKU03051,139686,3382,202,36942.355337607136,Low
833d6667-c72f-4851-b95a-521b3ab38192,2025-05-04,CAMP0005,Aashirvaad,Beauty,Google,SKU01217,422263,17325,1075,36942.355337607136,Low
4f8529f0-52f4-4899-8e15-4956aae48512,2025-05-05,CAMP0005,Aashirvaad,Beauty,Google,SKU01003,29476,993,144,36942.355337607136,Low
cb4031ae-abf7-4753-8059-04cf2e849836,2025-05-06,CAMP0005,Aashirvaad,Beauty,Google,SKU02822,215899,3919,491,36942.355337607136,Low
04881860-75ac-4cbd-ba19-d0ad4a99154e,2025-05-07,CAMP0005,Aashirvaad,Beauty,Google,SKU03017,162320,8038,864,36942.355337607136,Low
566e7576-1789-492e-8cf4-db4f59ac106d,2025-05-08,CAMP0005,Aashirvaad,Beauty,Google,SKU01051,225717,9528,831,36942.355337607136,Low
